name,url,sku,gtin13,price,currency,availability,description,brand,breadcrumbs,images,avg_rating,reviews_count,pack_size,ingredients,storage_details,product_origin,percentage_alcohol,serving_size,nutrition,uniq_id,scraped_at
Kit Kat Chunky Caramel Snacksize 4 X 35G,https://www.tesco.com/groceries/en-GB/products/311444903,311444903,03800020472545,1.25,GBP,InStock,"Crisp wafer finger with a caramel topping (15%) covered with thick milk chocolate (64%). Cocoa Plan®. Working with the Rainforest Alliance to support cocoa farmers and their communities. Find out more at ra.org.. A delicious chocolate bar, comprising a crispy wafer with a runny caramel filling in a tasty layer of smooth milk chocolate,KITKAT Chunky you know and love but with an extra layer of indulgence,A great treat when you are enjoying a break,No artificial colours, flavours or preservatives,Suitable for vegetarians",KITKAT,"Food Cupboard~Chocolate, Sweets, Mints & Chewing Gum~Multipack Chocolate Bars",https://digitalcontent.api.tesco.com/v2/media/ghs/f1adb899-d468-4353-959b-703184fa9796/3177e491-a54f-441e-b61d-b46747766dbb_1490427023.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/cd6148ec-725b-42f2-83e7-89aab38ecb6b/ea3b4a18-1400-4fde-bc58-928c8a16746a_1585726626.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/97a07bb2-6fcf-4b3c-92db-d1c833cdcbcc/de5a01fa-4c2d-434c-b28e-ec956cb46b65_1448606280.jpeg,4.5,6,Pack size: 140G,"Sugar, Skimmed Milk Powder, Glucose Fructose Syrup, Wheat Flour, Cocoa Mass, Cocoa Butter, Vegetable Fats (Palm, Shea), Butterfat (Milk), Whey Powder Product (Milk), Glucose Syrup, Sweetened Condensed Milk (Milk, Sugar), Fat-Reduced Cocoa Powder, Emulsifier (Lecithins), Salt, Raising Agent (Sodium Bicarbonate), Dried Whole Milk",Store cool and dry.For best before end see under fin seal.,,,Contains 4 servings,"[{'Energy': '2080kJ'}, {'-': '497kcal'}, {'Fat': '24.9g'}, {'of which: saturates': '14.3g'}, {'Carbohydrate': '60.2g'}, {'of which: sugars': '52.0g'}, {'Fibre': '2.0g'}, {'Protein': '7.0g'}, {'Salt': '0.28g'}, {'*Reference Intake of an average adult (8400kJ/ 2000kcal)': '-'}, {'Contains 4 servings': '-'}, {'Portions should be adjusted for children of different ages': '-'}]",fae0a40f-46df-5340-b55c-c0ec3dfdbc49,12/19/22
Pip & Nut Smooth Peanut Butter 300G,https://www.tesco.com/groceries/en-GB/products/309486619,309486619,05060367181274,3,GBP,InStock,"Smooth Peanut Butter. We're all about peanut better. Better nuts. Better taste. Better business. For people and planet. To the spooners and the toast lovers. Every drizzle. Every drop. No Palm Oil,Great taste 2020,Classic roast,Suitable for vegans",PIP & NUT,"Food Cupboard~Jams, Sweet & Savoury Spreads~Peanut & Nut Butter",https://digitalcontent.api.tesco.com/v2/media/ghs/76f30acf-5123-466f-a07c-436debc48c25/e8bff162-ed10-4b37-aece-a82ae1babccf_1046629247.jpeg,4.4,94,Pack size: 300G,"Argentinian Hi-Oleic Peanuts (99.6%), Sea Salt","Store in a cool, dry place. Once open, eat within 3 months (easy!).",Made in the EU,,Contains 20 (15g) servings,"[{'Energy (kJ)': '2505'}, {'Energy (kcal)': '605'}, {'Fat': '48.2g'}, {'Saturates': '5.9g'}, {'Mono-unsaturates': '39.7g'}, {'Polyunsaturates': '2.6g'}, {'Carbohydrate': '11.9g'}, {'Sugars': '5.7g'}, {'Fibre': '8.8g'}, {'Protein': '26.4g'}, {'Salt': '0.40g'}, {'Contains 20 (15g) servings': '-'}]",592c2c3e-7043-5751-8c3a-9fe91e1e54b6,12/19/22
Thomas & Friends Push & Go Stunt Engines Assorted,https://www.tesco.com/groceries/en-GB/products/311258093,311258093,00194735035557,10,GBP,InStock,Thomas & Friends Push & Go Stunt Engines Assorted,THOMAS,Baby~Toys & Nursery Accessories~Baby & Toddler Toys,https://digitalcontent.api.tesco.com/v2/media/ghs/e49c29c5-138b-41e0-9efa-f79f02584a14/f89c5f23-afbd-46f0-a2bb-eb426c1bc536_461234718.jpeg,,,,,,,,,[],f60a3f69-b5bc-5372-908d-936c62d3ce33,12/19/22
Shloer Zero Calorie Sparkling White Grape 750Ml,https://www.tesco.com/groceries/en-GB/products/312699041,312699041,05010388803501,2.4,GBP,InStock,"Sparkling zero calorie grape juice drink with sweetener. Free from artificial colours and flavourings,Suitable for vegans",SHLOER,Drinks~Adult Soft Drinks & Mixers~Adult Soft Drinks,https://digitalcontent.api.tesco.com/v2/media/ghs/bbbc0a77-25c7-4979-8da5-314184ca9420/ec14dea0-50a7-48a8-a8bf-1a18e5471e45_1817903564.jpeg,2,1,Pack size: 750ML,"Carbonated Water, White Grape Juice from Concentrate (3%), Malic Acid, Natural Flavourings, Acidity Regulator (Sodium Citrate), Citric Acid, Sweetener: Sucralose, Preservative (Potassium Sorbate), Colour (Caramelised Sugar)","Please store upright in a cool place, out of direct sunlight. Refrigerate after opening and consume within 3 days.",Packed in the UK,,,"[{'Energy kJ/kcal': '17kJ/4kcal'}, {'Fat': '0.0g'}, {'of which saturates': '0.0g'}, {'Carbohydrates': '0.6g'}, {'of which sugars': '0.5g'}, {'Protein': '0.0g'}, {'Salt': '0.0g'}]",0475d07c-4fd2-5ab8-b8f5-003ec3d59d04,12/19/22
Tesco Organic Raspberries 150G,https://www.tesco.com/groceries/en-GB/products/309450846,309450846,00000003310182,2.5,GBP,InStock,Raspberries.,TESCO ORGANIC,Fresh Food~Fresh Fruit~Berries & Cherries,https://digitalcontent.api.tesco.com/v2/media/ghs/5acb3730-99a6-4b85-8b5d-1ed35878c3fa/a9b66344-b4ec-4bcd-a508-2f3bc404ece0.jpeg,4.2,9,Pack size: 150G,Raspberry,"Keep refrigerated. To give best flavour bring to room temperature before eating.
    ","Produce of United Kingdom, Spain, Morocco",,1 Servings,"[{'Energy': '133kJ / 32kcal'}, {'Fat': '0.3g'}, {'Saturates': '0.1g'}, {'Carbohydrate': '4.6g'}, {'Sugars': '4.6g'}, {'Fibre': '2.5g'}, {'Protein': '1.4g'}, {'Salt': '<0.01g'}, {'Vitamin C': '32mg (40%NRV)'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'As sold': '-'}]",e6e64beb-316a-5d3c-b377-93d3c31be3da,12/19/22
Cake Decor Christmas Red 10 Inch Cake Board Assorted,https://www.tesco.com/groceries/en-GB/products/312210706,312210706,05060234986490,1.2,GBP,OutOfStock,"Cake Decor Xmas Red 10 Inch Cake Board Asst . Ready to Use,So easy",CAKE DECOR,Food Cupboard~Home Baking & Sugar~Cake Decorating & Cases,https://digitalcontent.api.tesco.com/v2/media/ghs/91a2cd27-c399-4002-ba86-43c163809fca/ae8fa6ff-d99d-44a1-8562-a82a665aa9be_1867890673.jpeg,,,,,,,,,[],b159e18e-3116-501f-8fe1-48fc3abc3594,12/19/22
Oriel Mediterranean Rose 75Cl,https://www.tesco.com/groceries/en-GB/products/295375945,295375945,05060096612070,7.5,GBP,InStock,Oriel Mediterranean Rose 75Cl. Wine of France,ORIEL,Drinks~Wine~Rose Wine,https://digitalcontent.api.tesco.com/v2/media/ghs/4bfcd8a6-8ea9-444a-b145-bff9e0b534d6/ad9c9f6d-c40f-488f-aa6e-98107901b82b_276556054.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/866d10d4-7985-4642-a0e5-012cc681c404/7d774857-88ed-4f57-b6bd-b22be50d6d5c_1091284569.jpeg,3.5,22,Pack size: 75CL,,,Product of France,12% vol,,[],e2eacf40-cee8-5281-9eb6-c527e5846bac,12/19/22
Tesco Finest Mango & Passion Fruit Mousse 100G,https://www.tesco.com/groceries/en-GB/products/299775235,299775235,05057545757178,1,GBP,OutOfStock,Mango and passion fruit mousse.,TESCO FINEST,Fresh Food~Chilled Desserts~Mousse & Smooth Potted Desserts,https://digitalcontent.api.tesco.com/v2/media/ghs/9fd891f1-4817-469c-9cf6-f2fbbde374a6/eb3010c4-286a-4600-a8b9-1ec9d20899f0.jpeg,3.2,16,Pack size: 100G,,"Not suitable for home freezing.    
Keep refrigerated.
    ",,,1 Servings,"[{'Energy': '960kJ / 231kcal'}, {'Fat': '15.7g'}, {'Saturates': '10.3g'}, {'Carbohydrate': '18.4g'}, {'Sugars': '15.8g'}, {'Fibre': '0.4g'}, {'Protein': '3.7g'}, {'Salt': '0.08g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'As sold': '-'}]",3e61ea1b-969f-5d6d-a789-8801b27b8522,12/19/22
Tesco Chicken Paste 75G,https://www.tesco.com/groceries/en-GB/products/254851605,254851605,00000003013595,0.45,GBP,InStock,Chicken paste.,TESCO,"Food Cupboard~Tins, Cans & Packets~Tinned Meat, Pies & Spreads",https://digitalcontent.api.tesco.com/v2/media/ghs/77236240-4e7b-47da-b7ac-05c789d2f2cd/d61cdb38-6d91-43e9-9f96-df22599e99a5_411865165.jpeg,2.8,12,Pack size: 75G,,"Store in a cool, dry place.    Once opened, keep refrigerated and consume within 6 days and by date shown.
    ",Made using British chicken.,,5 Servings,[],92529e65-9c51-5feb-a41d-0aba009d56f9,12/19/22
Neutrogena Visibly Clear Blackhead Scrub 150Ml,https://www.tesco.com/groceries/en-GB/products/252575478,252575478,03574661498478,5,GBP,InStock,"Neutrogena Visibly Clear Blackhead Scrub 150Ml. Developed with Dermatologists,Clinically proven,Deeply purifies to help eliminate & prevent blackheads for a refined complexion,For Blackhead-Prone Skin,Oil-Free",NEUTROGENA,Health & Beauty~Face Skincare~Face Cleansing,https://digitalcontent.api.tesco.com/v2/media/ghs/d0fc85a4-11be-45d5-8391-5ee6146cbd9d/2d72a33f-a5e0-419a-8a92-fe69a6e513a3_1333185624.jpeg,4.2,19,Pack size: 150ML,"[PR-0000067], Aqua, Cetyl Alcohol, PPG-15 Stearyl Ether, Cellulose, Glycerin, Polysorbate 60, Steareth-21, Salicylic Acid, Chondrus Crispus, Glucose, Agar, Menthyl Lactate, PVP, Potassium Cetyl Phosphate, Xanthan Gum, Potassium Chloride, Ammonium Polyacrylate, Mica, Sodium Hydroxide, BHT, Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Parfum, CI 77492, CI 77891, CI 73360",,Made in France,,,[],f85adee3-7846-5c71-b481-8163f6281ac7,12/19/22
Harry Potter Water Bottle,https://www.tesco.com/groceries/en-GB/products/311426171,311426171,05055263937568,6,GBP,OutOfStock,HARRY POTTER WATER BOTTLE ,HARRY POTTER,Home & Ents~Christmas Gifts~Film & TV Themed Gifts,https://digitalcontent.api.tesco.com/v2/media/ghs/97444d24-b18f-4a17-959a-6e7f13719cc1/7a4e2ac8-3968-4769-b569-fccbe9dd5d70_1833961661.jpeg,,,,,,,,,[],7297775c-3e1a-5309-8ced-fbf532fcdd9f,12/19/22
Tesco Large Stir Fry 570G,https://www.tesco.com/groceries/en-GB/products/280003281,280003281,00000003239018,1.19,GBP,InStock,Stir fry vegetables with beansprouts.,TESCO,"Fresh Food~Fresh Vegetables~Stir Fry Vegetables, Sauce & Noodles",https://digitalcontent.api.tesco.com/v2/media/ghs/147fdc74-bca7-4278-8519-a85054212447/b434a693-40b5-4b28-b4f0-cac328ccfcfd.jpeg,2.3,45,Pack size: 570G,,"Keep refrigerated. Once opened, consume within 1 days and by 'use by' date shown. Not suitable for freezing. ",,,4 Servings,"[{'Energy': '227kJ / 55kcal'}, {'Fat': '2.5g'}, {'Saturates': '0.2g'}, {'Carbohydrate': '4.7g'}, {'Sugars': '3.5g'}, {'Fibre': '2.2g'}, {'Protein': '2.2g'}, {'Salt': '0.14g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'** When cooked according to instructions 570g typically weighs 492g.': '-'}, {'When cooked according to instructions.': '-'}]",2f4713ae-be81-5a83-aca9-dcdecfc5c7ec,12/19/22
Ms. Molly's Vanilla Flavour Frosting 300G,https://www.tesco.com/groceries/en-GB/products/309464847,309464847,05059697401657,0.97,GBP,InStock,Vanilla flavour frosting.,MS MOLLYS,Food Cupboard~Home Baking & Sugar~Icing & Marzipan,https://digitalcontent.api.tesco.com/v2/media/ghs/631309a6-dbef-403c-b4b0-d917abba7285/756e0e15-a8e9-4f42-94ee-9d0490c78de7_2137253833.jpeg,5,3,Pack size: 300G,"INGREDIENTS: Sugar, Palm Oil, Water, Humectant (Glycerol), Invert Sugar Syrup, Emulsifiers (Mono- and Diglycerides of Fatty Acids, Soya Lecithins), Salt, Flavouring(Propylene Glycol, Glycerine, Ethanol, Flavouring), Preservative (Potassium Sorbate), Acidity Regulator (Citric Acid), Stabiliser (Xanthan Gum), Rapeseed Oil, Beta-Carotene(Glycerol, Water, Colours (Beta-Carotene), Acacia, Sunflower Oil, Tocopherol-Rich Extract).","Store in a cool, dry place.    Once opened, keep refrigerated and consume within 2 weeks.
    ",,,approx. 9 Servings,"[{'Energy': '1832kJ / 437kcal'}, {'Fat': '18.4g'}, {'Saturates': '9.8g'}, {'Carbohydrate': '67.4g'}, {'Sugars': '67.4g'}, {'Fibre': '0.5g'}, {'Protein': '0.1g'}, {'Salt': '0.58g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'As sold': '-'}]",37329a82-e680-5a3a-aefb-5c5a2c66fe1d,12/19/22
